collection,category,why,mdd_coll_id,set_type_id
cmip6_isi_test_description,test/scratch,named as a test or scratch run,981,414
conus_hydro_segments_doy_climatology_static_projected_test2,test/scratch,named as a test or scratch run,1188,490
conus_hydro_segments_doy_mmm_maurer_historical_test,test/scratch,named as a test or scratch run,1156,460
conus_hydro_segments_doy_mmm_maurer_historical_test_2,test/scratch,named as a test or scratch run,1158,462
conus_hydro_segments_doy_mmm_maurer_projected_test,test/scratch,named as a test or scratch run,1157,461
conus_hydro_segments_test_exsitu_reg2,test/scratch,named as a test or scratch run,1189,491
cp_test_gipl_wcs,test/scratch,named as a test or scratch run,1247,544
crrel_gipl_outputs_test,test/scratch,named as a test or scratch run,289,63
test_evspsbl_1,test/scratch,named as a test or scratch run,830,401
test_evspsbl_10,test/scratch,named as a test or scratch run,839,410
test_evspsbl_11,test/scratch,named as a test or scratch run,840,411
test_evspsbl_12,test/scratch,named as a test or scratch run,841,412
test_evspsbl_2,test/scratch,named as a test or scratch run,831,402
test_evspsbl_3,test/scratch,named as a test or scratch run,832,403
test_evspsbl_4,test/scratch,named as a test or scratch run,833,404
test_evspsbl_5,test/scratch,named as a test or scratch run,834,405
test_evspsbl_6,test/scratch,named as a test or scratch run,835,406
test_evspsbl_7,test/scratch,named as a test or scratch run,836,407
test_evspsbl_8,test/scratch,named as a test or scratch run,837,408
test_evspsbl_9,test/scratch,named as a test or scratch run,838,409
test_nan,test/scratch,named as a test or scratch run,312,199
test_nan_nilValue,test/scratch,named as a test or scratch run,313,200
big_tile_ardac_chukchi_daily_slie,unreferenced,no coverage points at it; origin unclear,486,136
big_tile_era5_4km_daily_t2_mean,unreferenced,no coverage points at it; origin unclear,484,350
bigger_tile_era5_4km_daily_t2_mean,unreferenced,no coverage points at it; origin unclear,485,351
cmip6_daily_pr_full,unreferenced,no coverage points at it; origin unclear,539,366
cmip6_downscaled_pr_wms_v2,unreferenced,no coverage points at it; origin unclear,1463,59
cmip6_downscaled_tasmax_wms_v2,unreferenced,no coverage points at it; origin unclear,1464,59
cmip6_downscaled_tasmin_wms_v2,unreferenced,no coverage points at it; origin unclear,1465,59
cmip6_isi_new_description,unreferenced,no coverage points at it; origin unclear,982,415
cmip6_isi_no_description,unreferenced,no coverage points at it; origin unclear,842,413
conus_hydro_hrus,unreferenced,no coverage points at it; origin unclear,93,122
conus_hydro_segments_all_stats,unreferenced,no coverage points at it; origin unclear,1160,464
conus_hydro_segments_doy_mmm,unreferenced,no coverage points at it; origin unclear,1147,452
conus_hydro_segmentsi_all_stats,unreferenced,no coverage points at it; origin unclear,1159,463
cp_gipl_wms,unreferenced,no coverage points at it; origin unclear,1277,568
crrel_gipl_outputs,unreferenced,no coverage points at it; origin unclear,369,63
wms_optimized_tiled_ardac_chukchi_daily_slie,unreferenced,no coverage points at it; origin unclear,495,136
